Date,occur_time,poss_date,poss_time,MaxOfnum_victims,Avg Day,UC2 Literal,neighborhood,x,y
12/31/17,0:00:00,12/31/17,2:00:00,1,Sun,LARCENY-FROM VEHICLE,Old Fourth Ward,-84.3719,33.77303
12/31/17,0:00:00,12/31/17,3:02:00,1,Sat,LARCENY-FROM VEHICLE,Grant Park,-84.37285,33.74639
12/31/17,0:00:00,12/31/17,3:34:00,1,Sun,BURGLARY-RESIDENCE,Peoplestown,-84.38625,33.72579
12/31/17,0:00:00,12/31/17,5:53:00,1,Sun,LARCENY-FROM VEHICLE,Mozley Park,-84.43192,33.74974
12/31/17,0:00:00,12/31/17,10:07:00,1,Sun,LARCENY-FROM VEHICLE,Edgewood,-84.33868,33.75757
12/30/17,0:00:00,12/30/17,2:45:00,1,Sat,LARCENY-FROM VEHICLE,Sweet Auburn,-84.37486,33.75118
12/30/17,0:00:00,12/29/17,0:00:00,1,Unk,LARCENY-NON VEHICLE,Atlanta University Center,-84.40479,33.74928
12/29/17,0:00:00,12/29/17,0:25:00,1,Fri,LARCENY-FROM VEHICLE,Home Park,-84.40047,33.78589
12/29/17,0:00:00,12/29/17,8:00:00,1,Fri,LARCENY-FROM VEHICLE,Blair Villa/Poole Creek,-84.39163,33.65463
12/29/17,0:00:00,12/29/17,2:00:00,1,Fri,BURGLARY-NONRES,Glenrose Heights,-84.38996,33.6587
12/29/17,0:00:00,12/29/17,17:10:00,2,Fri,BURGLARY-RESIDENCE,East Atlanta,-84.32687,33.72524
12/28/17,0:00:00,12/25/17,9:42:00,1,Mon,LARCENY-NON VEHICLE,Edgewood,-84.34337,33.74873
12/27/17,0:00:00,12/27/17,15:00:00,1,Unk,AUTO THEFT,Sylvan Hills,-84.41116,33.70847
12/26/17,0:00:00,12/26/17,2:15:00,1,Tue,LARCENY-FROM VEHICLE,Old Fourth Ward,-84.37323,33.76128
12/26/17,0:00:00,12/26/17,5:20:00,1,Mon,BURGLARY-NONRES,Downtown,-84.39032,33.75818
12/26/17,0:00:00,12/26/17,0:05:00,1,Tue,AUTO THEFT,Campbellton Road,-84.45488,33.70405
12/24/17,0:00:00,12/24/17,0:00:00,1,Sun,ROBBERY-PEDESTRIAN,Buckhead Forest,-84.37381,33.84268
12/24/17,0:00:00,12/24/17,1:00:00,1,Sun,LARCENY-FROM VEHICLE,Morningside/Lenox Park,-84.36308,33.80998
12/19/17,0:00:00,12/19/17,7:00:00,1,Tue,AUTO THEFT,Ashview Heights,-84.41985,33.75028
12/17/17,0:00:00,12/17/17,9:00:00,1,Sun,LARCENY-FROM VEHICLE,Cascade Green,-84.50317,33.715
12/17/17,0:00:00,12/17/17,14:00:00,1,Sun,LARCENY-FROM VEHICLE,Sweet Auburn,-84.3767,33.75578
12/15/17,0:00:00,12/15/17,15:39:00,1,Thu,LARCENY-NON VEHICLE,Old Fourth Ward,-84.36615,33.7676
12/15/17,0:00:00,12/15/17,9:00:00,1,Fri,LARCENY-FROM VEHICLE,Old Gordon,-84.51322,33.76797
12/13/17,0:00:00,12/13/17,3:00:00,1,Wed,LARCENY-FROM VEHICLE,Ormewood Park,-84.35783,33.734
12/12/17,0:00:00,12/12/17,17:27:00,1,Unk,RAPE,Downtown,0,0
