Date,,occur_time,poss_date,poss_time,MaxOfnum_victims,,Avg Day,,UC2 Literal,neighborhood,x,y
12/31/17,,23:15:00,12/31/17,0:30:00,2,,6,,1,1,-84.38013,33.75582
12/31/17,,13:00:00,12/30/17,22:00:00,1,,8,,1,2,-84.39745,33.78674
12/31/17,,22:01:00,12/31/17,1:00:00,1,,6,,1,3,-84.39486,33.7376
12/31/17,,20:00:00,12/31/17,1:06:00,1,,6,,1,4,-84.39887,33.75156
12/31/17,,0:41:00,12/31/17,0:48:00,2,,7,,1,5,-84.46522,33.72146
12/31/17,,23:00:00,12/31/17,1:26:00,1,,7,,1,6,-84.3466,33.74006
12/31/17,,1:55:00,12/31/17,1:59:00,1,,7,,3,7,-84.37373,33.74505
12/31/17,,0:00:00,12/31/17,2:00:00,1,,7,,1,8,-84.3719,33.77303
12/31/17,,0:00:00,12/31/17,3:02:00,1,,6,,1,7,-84.37285,33.74639
12/31/17,,0:00:00,12/31/17,3:34:00,1,,7,,6,9,-84.38625,33.72579
12/31/17,,0:40:00,12/31/17,4:10:00,1,,7,,8,3,-84.39495,33.73616
12/31/17,,0:00:00,12/31/17,5:53:00,1,,7,,1,10,-84.43192,33.74974
12/31/17,,6:00:00,12/31/17,6:01:00,1,,7,,7,11,-84.40766,33.68243
12/31/17,,6:00:00,12/31/17,6:05:00,2,,7,,4,12,-84.39276,33.71691
12/31/17,,7:25:00,12/31/17,7:35:00,1,,7,,8,9,-84.38742,33.73048
12/31/17,,16:00:00,12/31/17,7:00:00,1,,6,,8,13,-84.46574,33.70087
12/31/17,,9:29:00,12/31/17,9:29:00,1,,7,,1,14,-84.43107,33.75831
12/31/17,,5:00:00,12/31/17,8:00:00,1,,7,,1,15,-84.47527,33.79671
12/31/17,,9:00:00,12/31/17,9:35:00,1,,7,,2,16,-84.38031,33.70678
12/31/17,,16:00:00,12/31/17,9:49:00,1,,7,,1,17,-84.36983,33.84746
12/31/17,,0:00:00,12/31/17,10:07:00,1,,7,,1,18,-84.33868,33.75757
12/31/17,,10:30:00,12/31/17,11:00:00,1,,7,,2,8,-84.38023,33.77067
12/31/17,,10:45:00,12/31/17,10:48:00,1,,7,,2,19,-84.40795,33.70369
12/31/17,,11:39:00,12/31/17,11:39:00,1,,7,,1,14,-84.43089,33.75437
12/31/17,,22:00:00,12/31/17,12:00:00,4,,7,,1,20,-84.42057,33.74647
12/31/17,,11:30:00,12/31/17,11:52:00,2,,7,,1,2,-84.40344,33.78852
12/31/17,,11:50:00,12/31/17,11:54:00,1,,7,,1,21,-84.43407,33.77075
12/31/17,,22:00:00,12/31/17,11:00:00,1,,7,,1,1,-84.38554,33.7602
12/31/17,,23:00:00,12/31/17,12:10:00,1,,7,,8,22,-84.37784,33.83476
12/31/17,,11:00:00,12/31/17,12:31:00,1,,7,,2,23,-84.36212,33.84676
12/31/17,,21:00:00,12/30/17,21:30:00,1,,6,,1,24,-84.35429,33.7436
12/31/17,,8:30:00,12/31/17,13:00:00,1,,8,,6,25,-84.43212,33.86758
12/31/17,,12:00:00,12/31/17,14:00:00,1,,7,,8,,-84.39261,33.81305
12/31/17,,19:00:00,12/31/17,7:00:00,1,,7,,1,26,-84.36218,33.76013
12/31/17,,12:45:00,12/31/17,13:59:00,1,,7,,8,27,-84.49103,33.79602
12/31/17,,13:40:00,12/31/17,14:00:00,1,,7,,2,23,-84.36212,33.84676
12/31/17,,23:00:00,12/31/17,14:42:00,1,,7,,6,28,-84.44144,33.72522
12/31/17,,14:30:00,12/31/17,14:45:00,1,,7,,8,29,-84.51271,33.65639
12/31/17,,21:00:00,12/31/17,12:00:00,1,,7,,1,26,-84.35096,33.76484
12/31/17,,14:27:00,12/31/17,14:30:00,1,,7,,8,30,-84.42757,33.80415
12/31/17,,14:50:00,12/31/17,14:53:00,1,,7,,9,31,-84.50858,33.7451
12/31/17,,13:00:00,12/31/17,15:00:00,1,,7,,1,32,-84.44623,33.78532
12/31/17,,17:00:00,12/31/17,15:00:00,1,,7,,7,33,-84.47425,33.75381
12/31/17,,16:04:00,12/31/17,16:04:00,1,,7,,1,34,-84.42811,33.79826
12/31/17,,16:00:00,12/31/17,16:30:00,4,,7,,1,35,-84.4448,33.81326
12/31/17,,12:00:00,12/29/17,12:00:00,1,,8,,2,36,-84.45089,33.79335
12/31/17,,16:28:00,12/31/17,16:39:00,1,,7,,6,18,-84.33644,33.75546
12/31/17,,13:00:00,12/31/17,16:00:00,1,,7,,1,32,-84.44593,33.78547
12/31/17,,13:20:00,12/31/17,13:45:00,2,,7,,7,37,-84.39255,33.8038
12/31/17,,14:25:00,12/31/17,14:35:00,1,,7,,2,6,-84.34586,33.74085
12/31/17,,18:00:00,12/31/17,18:49:00,1,,7,,1,19,-84.41103,33.69731
12/31/17,,15:30:00,12/31/17,17:30:00,1,,7,,1,17,-84.36278,33.85302
12/31/17,,16:00:00,12/31/17,19:30:00,4,,7,,1,4,-84.4037,33.7476
12/31/17,,14:30:00,12/31/17,19:10:00,1,,7,,8,3,-84.39438,33.73699
12/31/17,,3:00:00,12/31/17,20:10:00,3,,7,,1,1,-84.39736,33.74958
