DATE,,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYStationPressure,,DAILYSunrise,DAILYSunset
1/1/17 0:53,,OVC:08 22,9,42,89,6,29.17,,743,1741
1/1/17 1:28,,BKN:07 13 OVC:08 19,10,43,86,0,29.15,,743,1741
1/1/17 1:53,,OVC:08 11,10,44,85,3,29.16,,743,1741
1/1/17 2:53,,OVC:08 10,8,44,89,6,29.16,,743,1741
1/1/17 3:09,,OVC:08 9,9,44,93,3,29.16,,743,1741
1/1/17 3:53,,OVC:08 7,7,45,90,5,29.17,,743,1741
1/1/17 4:53,,OVC:08 6,8,45,93,7,29.16,,743,1741
1/1/17 5:53,,OVC:08 6,7,45,90,7,29.16,,743,1741
1/1/17 6:00,,OVC:08 4,8,45,90,8,29.16,,743,1741
1/1/17 6:53,,OVC:08 4,7,45,90,7,29.17,,743,1741
1/1/17 7:53,,OVC:08 3,5,45,93,7,29.17,,743,1741
1/1/17 8:46,,OVC:08 3,2.5,45,93,7,29.2,,743,1741
1/1/17 8:53,,OVC:08 3,2.5,45,93,7,29.2,,743,1741
1/1/17 9:00,,OVC:08 2,3,45,93,8,29.2,,743,1741
1/1/17 9:10,,OVC:08 3,3,45,93,8,29.21,,743,1741
1/1/17 9:53,,OVC:08 3,4,45,93,6,29.22,,743,1741
1/1/17 10:53,,OVC:08 3,5,46,93,6,29.23,,743,1741
1/1/17 11:30,,OVC:08 2,2.5,47,90,7,29.22,,743,1741
1/1/17 11:43,,OVC:08 2,1.25,47,93,7,29.21,,743,1741
1/1/17 11:53,,OVC:08 2,1,47,93,5,29.21,,743,1741
1/1/17 12:10,,OVC:08 2,0.75,47,93,6,29.2,,743,1741
1/1/17 12:40,,OVC:08 1,0.5,47,93,6,29.2,,743,1741
1/1/17 12:53,,OVC:08 1,0.5,47,97,6,29.19,,743,1741
1/1/17 13:19,,OVC:08 1,0.25,48,93,6,29.18,,743,1741
1/1/17 13:53,,OVC:08 2,0.25,48,93,3,29.18,,743,1741
1/1/17 14:28,,OVC:08 3,0.25,49,93,5,29.18,,743,1741
1/1/17 14:53,,OVC:08 3,0.25,49,93,5,29.18,,743,1741
1/1/17 15:00,,OVC:08 3,1.75,49,93,5,29.19,,743,1741
1/1/17 15:09,,OVC:08 3,2.5,49,93,6,29.19,,743,1741
1/1/17 15:53,,BKN:07 4 OVC:08 10,2,49,93,5,29.19,,743,1741
1/1/17 16:53,,OVC:08 4,2,49,93,6,29.18,,743,1741
1/1/17 17:51,,OVC:08 4,3,48,94,6,29.2,,743,1741
1/1/17 17:53,,OVC:08 4,3,49,93,6,29.2,,743,1741
1/1/17 18:53,,OVC:08 4,4,48,93,7,29.21,,743,1741
1/1/17 19:51,,OVC:08 5,8,48,94,3,29.23,,743,1741
1/1/17 19:53,,OVC:08 5,8,49,93,3,29.23,,743,1741
1/1/17 20:32,,OVC:08 4,6,49,93,0,29.23,,743,1741
1/1/17 20:53,,OVC:08 3,6,49,93,0,29.23,,743,1741
1/1/17 21:53,,OVC:08 4,7,50,93,6,29.22,,743,1741
1/1/17 22:53,,OVC:08 4,6,50,93,3,29.25,,743,1741
1/1/17 23:53,,OVC:08 3,4,50,93,5,29.24,,743,1741
1/1/17 23:59,,,,,,,,,743,1741
1/2/17 0:00,,OVC:08 2,3,50,93,6,29.24,,743,1741
1/2/17 0:27,,OVC:08 3,7,50,93,6,29.24,,743,1741
1/2/17 0:53,,OVC:08 3,6,50,93,5,29.25,,743,1741
1/2/17 1:38,,BKN:07 5 OVC:08 10,7,50,89,7,29.22,,743,1741
1/2/17 1:53,,BKN:07 5 OVC:08 80,7,50,93,7,29.21,,743,1741
1/2/17 2:53,,OVC:08 5,10,50,93,3,29.23,,743,1741
1/2/17 3:53,,OVC:08 5,10,51,89,0,29.23,,743,1741
1/2/17 4:02,,OVC:08 4,9,50,93,3,29.22,,743,1741
1/2/17 4:53,,OVC:08 4,10,50,96,3,29.25,,743,1741
1/2/17 5:53,,OVC:08 4,7,51,92,6,29.23,,743,1741
1/2/17 6:20,,OVC:08 5,10,51,92,5,29.23,,743,1741
1/2/17 6:44,,OVC:08 4,10,51,92,7,29.23,,743,1741
1/2/17 6:53,,OVC:08 4,10,51,92,5,29.24,,743,1741
1/2/17 7:53,,OVC:08 3,7,51,92,5,29.25,,743,1741
1/2/17 8:12,,OVC:08 2,2.5,51,92,6,29.25,,743,1741
1/2/17 8:23,,OVC:08 2,4,51,92,5,29.26,,743,1741
1/2/17 8:48,,OVC:08 3,8,52,88,7,29.27,,743,1741
1/2/17 8:53,,OVC:08 3,7,51,92,7,29.26,,743,1741
1/2/17 9:16,,OVC:08 3,1.75,51,96,7,29.27,,743,1741
1/2/17 9:24,,OVC:08 2,1.5,52,93,6,29.27,,743,1741
1/2/17 9:39,,OVC:08 2,2,52,93,6,29.27,,743,1741
1/2/17 9:46,,OVC:08 2,1.5,52,93,3,29.28,,743,1741
1/2/17 9:53,,OVC:08 2,1.5,52,93,6,29.28,,743,1741
1/2/17 10:53,,OVC:08 2,1.25,53,93,3,29.29,,743,1741
1/2/17 11:10,,OVC:08 2,0.75,53,93,5,29.28,,743,1741
1/2/17 11:22,,OVC:08 2,1.25,53,93,3,29.28,,743,1741
